Date;Insitu;SVT16;SurfSent1;Hydroweb Haut;Hydroweb Surf
02/06/2016;193.16;192.89;447.0716;;
29/06/2016;192.78;193.05;457.7602;192.07;467.54
26/07/2016;193.37;194.27;441.1031;;
22/08/2016;196.71;197.26;538.7585;195.53;582.78
15/10/2016;200.05;199.91;543.9712;;
11/11/2016;200.06;199.86;621.4055;;
08/12/2016;199.99;200.01;612.4618;198.92;700.93 
04/01/2017;199.36;199.16;604.5397;;
31/01/2017;198.38;198.17;592.0689;;
26/03/2017;196.10;195.94;479.7721;195.04;566.13
22/04/2017;195.04;194.98;521.2212;;
12/07/2017;196.52;197.12;539.8247;;
08/08/2017;197.49;198.05;562.2618;196.95;631.64
04/09/2017;199.61;198.95;630.9577;;
01/10/2017;200.02;199.97;603.9379;;
28/10/2017;199.93;200.08;626.247;198.86 ;698.79
24/11/2017;198.99;199.15;618.61;;
21/12/2017;198.32;198.20;585.6591;;
17/01/2018;197.35;197.09;568.9799;;
12/03/2018;195.21;194.96;442.9673;;
08/04/2018;194.38;195.14;482.8352;;
05/05/2018;193.38;193.21;472.0266;;
01/06/2018;192.95;193.18;432.948;;
28/06/2018;193.23;193.04;428.1265;193.62;518.5
25/07/2018;195.72;195.99;517.6758;;
21/08/2018;196.96;197.02;537.7358;;
17/09/2018;199.99;200.06;609.4676;;
07/12/2018;199.93;199.97;622.4073;;
03/01/2019;199.19;198.91;589.6294;;
31/01/2019;198.09;198.33;568.4357;197.35;645.56
26/02/2019;190.85;194.14;520.4361;;
25/03/2019;193.04;192.19;441.8364;;
18/05/2019;189.44;189.93;376.7495;;
14/06/2019;188.36;188.95;290.4387;;
11/07/2019;188.35;190.01;270.357;;
07/08/2019;190.84;192.19;307.1538;;
03/09/2019;195.34;196.20;460.8281;;
30/09/2019;199.01;198.97;624.0754;;
23/11/2019;199.43;199.84;623.5162;;
20/12/2019;198.88;198.92;598.7494;;
16/01/2020;197.56;197.65;570.2571;;
12/02/2020;195.62;194.67;523.0156;;
10/03/2020;192.79;192.66;484.8397;;
06/04/2020;190.70;191.52;426.3713;190.99;432.68
03/05/2020;189.19;189.55;382.315;;
30/05/2020;187.90;187.72;276.1931;;
23/07/2020;187.42;186.77;348.316;;
15/09/2020;193.77;194.43;475.4171;;
05/12/2020;198.03;197.76;573.6065;;
01/01/2021;196.59;196.61;544.6620;;
21/02/2021;191.96;191.47;441.628;;
23/03/2021;188.94;188.62;352.8478;;
