;Cycle number;Track number;Date;Hauteur;ice1_ku_SurfHeight_alti_med_abs_dev (meters);number of sample
0;6;932;15/06/2002;184.3919625;0.3564392775674105;5
1;7;932;20/07/2002;184.6706375;0.05122383033414841;5
2;8;932;24/08/2002;186.837415;0.1559398680162084;5
3;9;932;28/09/2002;187.9910875;0.1746169218204845;4
4;10;932;02/11/2002;188.31798;0.15350840321283363;5
5;11;932;07/12/2002;188.60918;0.02111222499962069;4
6;12;932;11/01/2003;187.748345;0.029073786003076262;5
7;13;932;15/02/2003;186.4472;0.5755379065262153;4
8;14;932;22/03/2003;185.8275375;0.06543825784743551;4
9;15;932;26/04/2003;184.51234;0.19212272042402395;2
10;16;932;31/05/2003;184.1392375;0.18313816440121977;5
11;17;932;05/07/2003;183.6777;0.1788756896543805;4
12;18;932;09/08/2003;184.0607925;0.21319417373193528;4
13;19;932;13/09/2003;186.04607;0.20351650059107426;4
14;20;932;18/10/2003;188.6475075;1.4468174482373843;5
15;21;932;22/11/2003;189.8541025;0.07496766720943769;5
16;22;932;27/12/2003;189.00331;0.2953635571594881;5
17;23;932;31/01/2004;181.86393;2.3852365338716153;5
18;24;932;06/03/2004;187.53615;0.17138855758667182;5
19;25;932;10/04/2004;186.89949;0.26539281223515804;4
20;26;932;15/05/2004;186.2466625;0.11643599239150629;5
21;27;932;19/06/2004;185.2537;0.5885921999570064;5
22;28;932;24/07/2004;184.54356;0.018169263743983255;4
23;29;932;28/08/2004;184.54294;0.11472357961222272;5
24;31;932;06/11/2004;185.90165;0.10144690439191331;4
25;32;932;11/12/2004;185.4467325;0.19657793412846894;5
26;34;932;19/02/2005;184.22566;0.07238053498017911;5
27;35;932;26/03/2005;183.5795125;0.19212642734552127;4
28;36;932;30/04/2005;182.7759;0.17201124967396877;5
29;37;932;04/06/2005;182.33961;0.030586037751992253;4
30;38;932;09/07/2005;182.409265;0.18908338998155805;4
31;39;932;13/08/2005;182.9126325;0.17896464624722755;5
32;40;932;17/09/2005;183.28082;0.07239535717952346;4
33;41;932;22/10/2005;184.54306;0.017020247710646964;4
34;42;932;26/11/2005;184.32279;0.22778666384210255;5
35;43;932;31/12/2005;184.0105625;0.43105853703605074;5
36;44;932;04/02/2006;183.31222;0.038428991019973775;5
37;45;932;11/03/2006;183.291425;0.11679181296942157;4
38;46;932;15/04/2006;182.5474125;0.1871782393175451;5
39;47;932;20/05/2006;178.900775;0.302850703056286;5
40;48;932;24/06/2006;182.386735;0.14867512268205157;5
41;49;932;29/07/2006;181.84992;0.055360289476848394;5
42;50;932;02/09/2006;182.25961;0.030778772006235713;5
43;51;932;07/10/2006;184.1639075;0.5114895878205287;5
44;52;932;11/11/2006;185.5213;0.4241422074016797;5
45;53;932;16/12/2006;182.12206;2.7456491789183866;4
46;54;932;20/01/2007;183.670415;0.09964555040564027;5
47;55;932;24/02/2007;181.981595;0.14823776179847903;4
48;56;932;31/03/2007;179.672595;1.9398041908725487;5
49;57;932;05/05/2007;181.5224175;0.17947614217630448;5
50;58;932;09/06/2007;181.649725;0.03763950708946091;4
51;59;932;14/07/2007;181.395525;0.358833679082062;5
52;60;932;18/08/2007;182.4731675;0.14515395447040233;5
53;61;932;22/09/2007;185.4589;0.03739117228525998;5
54;62;932;27/10/2007;187.3419325;0.7528568626454375;5
55;63;932;01/12/2007;187.353275;0.09510880476387616;5
56;64;932;05/01/2008;187.188095;0.06277329276925421;5
57;65;932;09/02/2008;185.3842375;0.8713610852456736;5
58;66;932;15/03/2008;185.4050025;0.045945773180335166;5
59;67;932;19/04/2008;184.6748175;0.13956456338654868;5
60;68;932;24/05/2008;184.24039;0.2917163749742515;5
61;69;932;28/06/2008;183.2318225;0.443215855369474;5
62;70;932;02/08/2008;183.3063225;0.39297053472015736;5
63;71;932;06/09/2008;184.8835725;0.4901030828141406;5
64;72;932;11/10/2008;187.6541825;0.6257906354566231;5
65;73;932;15/11/2008;187.973745;0.13479799077948867;5
66;74;932;20/12/2008;187.225625;0.04558995039792691;5
67;75;932;24/01/2009;185.81453;0.17897947277779214;5
68;76;932;28/02/2009;184.66362;0.30199079391087;4
69;77;932;04/04/2009;183.9466125;0.10334462606643913;5
70;78;932;09/05/2009;182.9687575;0.109690159233564;5
71;79;932;13/06/2009;182.177575;0.2466305092240618;5
72;80;932;18/07/2009;181.7018225;0.14975371921406405;4
73;81;932;22/08/2009;182.15972;0.14234442226367344;4
74;82;932;26/09/2009;183.4226375;0.09095380422213532;4
75;83;932;31/10/2009;180.9601775;0.11139515173655616;5
76;84;932;05/12/2009;184.1428525;0.055964443681628125;4
77;85;932;09/01/2010;183.13736;0.14547271333585146;3
78;87;932;20/03/2010;181.2908025;0.16932033350312556;5
79;88;932;24/04/2010;179.9374025;1.0354997313682281;5
80;89;932;29/05/2010;180.751515;0.19065124090277089;4
81;90;932;03/07/2010;180.976185;0.07449323697626095;4
82;91;932;07/08/2010;180.75855;0.2546291370937381;4
83;92;932;11/09/2010;181.29865;0.05547889227956079;4
84;93;932;16/10/2010;184.0954;0.11934930102551415;5
