;Cycle number;Track number;date (Year-Month-Day hh:mm:ss);lon_40hz_mean (deg);lat_40hz_mean (deg);ice1_ka_SurfHeight_alti_median (meters);ice1_ka_SurfHeight_alti_med_abs_dev (meters);ice1_ka_SurfHeight_alti_mean (meters);ice1_ka_SurfHeight_alti_std (meters);number of sample
0;1;932;15/04/2013 18:30;-5.472213222222236;7.059188195978608;182.3765141703776;0.44008089649187776;182.27872670392227;0.38907882847335995;9
1;2;932;20/05/2013 18:30;-5.474016600000018;7.060423273755039;181.59907532865714;0.09815183590032367;181.5989922134982;0.07042334793329802;10
2;3;932;24/06/2013 18:30;-5.487670200000017;7.061359473750249;181.05696284811143;0.31880899715210254;180.99957284594325;0.2518908065880118;10
3;4;932;29/07/2013 18:29;-5.4732525555555736;7.060158862640815;180.5906640550777;0.7318929593909036;180.32186796263173;0.8135685688748472;9
4;5;932;02/09/2013 18:29;-5.472168142857149;7.058212116618918;181.17023905717386;0.043985031067778124;181.23627943350195;0.10381610061343545;7
5;7;932;11/11/2013 18:30;-5.472305600000022;7.059947473753745;184.13267780118673;0.07260103836325818;184.16603407499227;0.09522294324001947;10
6;9;932;20/01/2014 18:30;-5.475323300000018;7.060680873754798;182.76640035126616;0.12252672970640205;182.7754179677379;0.09500132890247404;10
7;10;932;24/02/2014 18:30;-5.478454333333356;7.06095341819665;181.23437907179743;0.783668969191528;181.20941520019764;0.591520675906225;9
8;12;932;05/05/2014 18:29;-5.476778000000029;7.060898418196639;181.05772658683685;0.35235843076667867;180.67893769805755;0.8530200471090827;9
9;14;932;14/07/2014 18:29;-5.476090000000017;7.060941973749915;180.23302905633295;0.5520887984665241;180.02882991290912;0.5874468169645477;9
10;15;932;18/08/2014 18:29;-5.472117625000022;7.059809473753784;180.8262578237429;0.34218410853707554;180.30574532612607;1.1089084884671017;8
11;16;932;22/09/2014 18:29;-5.476049555555582;7.060818640421288;182.53655659066112;0.2666530516234394;182.44811214923322;0.286005988369122;9
12;17;932;27/10/2014 18:29;-5.478671222222243;7.060879195976172;183.44855908658224;0.8945823572543854;183.4458099253593;0.7022717942783323;9
13;18;932;01/12/2014 18:29;-5.477845111111136;7.060375751528198;184.25417033115602;0.10207702804842954;184.26381199041742;0.08651628182127795;9
14;19;932;05/01/2015 18:29;-5.479113888888922;7.060690307085428;183.4292865591819;0.20924112053978033;183.44100978242693;0.13661552542260819;9
15;20;932;09/02/2015 18:29;-5.484586100000024;7.061159173754342;182.81228285103958;0.02423126975430953;182.81263285040282;0.01773790770732915;10
16;21;932;16/03/2015 18:29;-5.486837444444467;7.061509084859459;181.30747030997767;0.1416625119299382;181.3079370050682;0.09490108252113913;9
17;26;932;07/09/2015 18:29;-5.472189000000035;7.054948973772468;180.42535779976828;0.10574644088726784;180.42535779976828;0.07132499722600016;2
18;28;932;16/11/2015 18:29;-5.483740000000014;7.061067473750223;183.58080783649763;0.12335231090723238;183.42511070613085;0.3330084975077713;10
19;31;932;29/02/2016 18:28;-5.4738034444444645;7.060433640421506;182.3205778187952;0.23715675197667818;182.19735783838965;0.35851042041626313;9
