Mois;SV9A
1;185.54
1;189.29
2;189.79
2;186.28
3;184.42
3;189.06
3;186.95
3;181.63
3;182.58
4;181.99
4;184.65
4;184.04
4;185.04
4;186.22
5;184.01
5;185.90
5;185.25
5;180.68
6;181.43
6;182.84
6;185.89
6;185.41
6;180.52
7;181.41
7;183.31
7;185.65
7;184.95
7;180.50
8;183.52
8;184.58
8;184.17
8;184.29
9;183.72
9;186.63
9;185.36
9;183.23
10;186.44
10;184.72
10;188.52
10;187.56
10;185.25
11;185.82
11;190.29
11;189.85
11;190.72
11;186.84
11;185.14
12;186.57
12;185.96
12;190.68
12;190.12
12;186.21
