Date;Insitu;SV;SurfSent1;HydrowebH;HydrowebS
2016-03-19;182.05;181.029190737189;466.8363;182.41;369.58
2016-04-15;181.9;181.281435888841;331.8609;181.68 ;342.51
2016-05-12;181.55;181.034679671972;339.0992;181.67;342.13
2016-07-05;181.39;181.282784699145;347.5672;181.51;336.06
2016-10-21;186.37;186.485338836654;474.9791;186.78;509.79
2016-12-14;186.41;186.400088678676;457.3817;186.64;505.87
2017-01-10;186.06;185.437873527115;438.5595; 186.27;495.35 
2017-06-21;183.06;183.166927192876;388.4516;183.31;401.51
2017-07-18;183.24;182.688649789512;424.2812;183.41;404.96
2017-08-14;183.45;183.528110774209;431.303;183.48;407.36
2017-09-10;184.41;184.439234884107;433.4042;184.61;444.84
2017-10-07;185.85;184.361211006853;455.3744; 185.8; 481.6
2017-11-03;186.3;185.998869440192;483.4142;186.47;501.07
2017-11-30;186.18;184.690334756127;482.2945;185.98;486.91
2017-12-27;185.79;185.906504659564;428.754;186;487.5 
2018-01-23;185.4;185.539466779703;426.6171;185.62 ;476.21
2018-03-18;184.54;184.556308835111;437.3687;184.85;452.47
2018-04-14;183.93;183.999410471582;500.4945;184.09; 427.9
2018-05-11;183.86;184.104415759739;448.3273; 184.36;436.76
2018-06-07;183.37;183.136877238526;449.8699;183.64;412.82
2018-07-04;183.55;183.319025880237;431.3137;183.35;402.89
2018-08-27;184.28;184.050021381767;479.4575;185.91;484.85
2018-10-20;190.7;190.929943465043;611.9144;190.92 ;608.13
2018-12-13;190.61;190.73566065106;592.7646;190.88;607.34
2019-01-09;190.1;190.177819073454;594.9348;190.28;595.12
2019-02-05;189.59;189.792735432175;568.6115; 189.8;584.83
2019-03-04;188.94;189.068448628497;569.543;189.07;568.33 
2019-03-31;188.11;188.235669803219;590.1875;188.37;551.52
2019-04-27;187.66;187.793037548374;561.928;187.95;540.98
2019-05-24;186.78;184.60331002204;540.0309;186.18;492.75
2019-06-20;185.98;186.053789403745;528.6268;186.04 ;488.67
2019-07-17;185.64;185.659814877229;505.5349;185.76;480.4
2019-08-13;185.61;184.526566098633;519.0415;185.66;477.41
2019-09-09;186.66;185.674289817276;528.5038;186.91;513.38
2019-10-06;189.02;186.977121949084;594.3699;189.11;569.26
2019-11-02;190.49;188.551303302635;610.014;190.61;601.92
2019-11-29;190.57;190.642672141657;613.2512;190.69;603.54
2019-12-26;189.98;189.9862518483;578.3404;190.1;591.31
2020-01-22;189.39;189.210942626289;576.5092;189.25;572.5
2020-02-18;188.64;187.077327230435;568.0589;188.37;551.52
2020-03-16;187.79;185.987842999239;556.2508; 187.56;530.88
2020-04-12;187.13;185.307297176822;572.74;187.27;523.18 
2020-05-09;186.32;185.995638440292;565.5995;186.51;502.21
2020-06-05;185.6;185.407894072817;522.6534;185.77;480.7 
2020-07-02;185.13;184.962601446447;510.3873; 185.32;467.1
2020-07-29;184.59;184.377094719806;490.7205;184.76 ; 449.62
2020-08-25;184.5;184.342142387907;485.013;184.66 ;446.44
2020-09-21;185.45;185.347422463543;507.9557;185.75;480.11
2020-10-18;186.85;186.773885638517;527.8819;187.22;521.83
2020-11-14;186.95;186.791221943264;529.9643;187.13;519.4
2020-12-11;186.32;186.117333308374;513.7894;186.57;503.9
2021-01-07;185.49;185.217263521813;490.8427;185.62;476.21
2021-03-02;183;182.600199172135;440.6091;183.21;398.04
2021-03-29;181.8;181.524742662081;425.9;182.05;356.36
2021-04-25;181.18;180.797388834625;383.1204;181.36 ;330.32
2021-10-04;185.35;185.196652625559;399.9093;185.66;477.41
2021-11-27;185.66;184.55505194599;437.94;185.85 ;483.08
2021-12-24;185.29;185.107688046517;402.3504;185.49;472.29
2022-02-16;184.29;183.592666492866;407.9965;184.48;440.65
